interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
930,935,1,0,38.49,0,3,11,1,1,1,2.51,14.84,29.22,10.5,14.49,5
930,935,1,0,66.17,0,2,12,1,1,6,8.75,21.01,123.72,17.99,20.79,0
930,935,1,0,11.32,0,6,13,1,1,0,1.49,64.92,69.08,18.87,64.7,0
930,935,1,0,15.28,1,0,14,2,2,1,3.05,96.57,141.43,19.22,96.36,0
930,935,1,0,80.44,0,1,15,1,1,0,6.42,69.97,116.32,4.19,69.01,75
930,935,1,1,21.26,0,1,16,0,0,0,4.24,84.03,169.08,18.97,83.83,0
930,935,1,0,11.92,1,0,17,1,1,1,1.58,44.76,50.51,19.03,44.57,0
930,935,1,0,71.15,0,2,18,1,1,0,5.68,100.16,100.98,2.87,98.77,80
930,935,1,0,,0,0,19,0,0,0,,,0,,,
930,935,1,0,33.44,0,1,2,1,1,5,2.17,19.32,47.51,14.91,18.93,4
930,935,1,0,11.77,0,0,20,1,1,0,2.35,97.77,110,19.17,97.56,0
930,935,1,0,3.06,0,0,21,0,0,0,0.61,166.49,30,11.82,166.15,0
930,935,1,0,13.9,0,0,22,0,0,1,2.7,57.24,14.47,3.71,56.26,7
930,935,1,0,,0,0,23,0,0,0,,,0,,,
930,935,1,1,2.76,0,0,24,0,0,0,0.54,54.28,7.57,10.19,53.7,0
930,935,1,0,3.69,0,0,25,0,0,3,0.7,34.2,10.14,16.18,32.93,0
930,935,1,0,4.43,0,2,26,0,0,0,0.8,17.87,3.92,10.12,17.47,0
930,935,1,0,,0,0,27,0,0,0,,,0,,,
930,935,1,0,0.51,0,0,28,0,0,0,0.1,172.8,5,11.39,172.44,0
930,935,1,0,60.96,0,5,3,0,0,1,8.1,36.21,201.2,18.34,35.99,0
930,935,1,3,38.92,2,1,4,6,6,0,5.18,63.77,236.09,19.09,63.57,0
930,935,1,0,64.21,0,0,5,0,0,0,5.14,27.95,50,5.72,27.25,19
930,935,1,0,,0,0,6,0,0,0,,,0,,,
930,935,1,1,19.42,0,0,7,1,1,0,2.59,35.04,66.95,19.79,34.83,0
930,935,1,0,22.11,2,0,8,0,0,3,2.93,31.91,70.33,20.06,31.72,0
930,935,1,0,54.81,0,3,9,0,0,0,5.45,22.09,47.04,7.95,21.58,21
935,940,1,0,27.59,2,0,1,3,3,3,3.67,66.81,177.28,19.3,66.61,0
935,940,1,0,28.68,3,1,10,3,3,3,3.81,95.89,269.2,19.62,95.62,0
935,940,1,0,42.6,0,3,11,2,2,2,2.74,14.52,32.33,10.73,13.82,5
935,940,1,0,50.67,0,1,12,0,0,8,6.69,20.92,94.73,18.06,20.7,0
935,940,1,1,16.41,0,8,13,0,0,0,2.17,65.5,100.15,18.7,65.3,0
935,940,1,0,15.03,1,0,14,3,3,2,3,98.94,139.11,18.75,98.73,0
935,940,1,0,84.65,0,1,15,1,1,0,6.77,111.27,122.41,2.64,109.76,87
935,940,1,2,20.98,0,0,16,0,0,0,4.19,83.43,166.86,19.11,83.21,0
935,940,1,0,11.8,0,0,17,2,2,0,1.57,46.1,50,18.47,45.89,0
935,940,1,0,73.99,0,0,18,0,0,0,5.92,116.63,105,2.47,115.01,82
935,940,1,0,2.8,0,1,19,1,1,0,0.47,36.28,3.95,7.9,35.77,0
935,940,1,0,23.83,0,3,2,2,2,3,1.56,18.48,33.86,15.59,18.26,5
935,940,1,0,11.77,0,0,20,0,0,0,2.35,97.95,110,19.13,97.74,0
935,940,1,0,3.06,0,0,21,1,1,0,0.61,167.75,30,11.73,167.41,0
935,940,1,0,6.73,0,0,22,0,0,1,1.28,51.12,7.01,4.15,52.91,0
935,940,1,0,2.93,0,1,23,0,0,0,1.09,15.72,2.58,11.45,15.37,0
935,940,1,0,1.82,0,0,24,0,0,0,0.36,53.75,5,10.29,53.36,0
935,940,1,0,,0,0,25,0,0,0,,,0,,,
935,940,1,0,16.96,0,1,26,0,0,0,3.34,17.76,14.99,10.18,17.36,0
935,940,1,0,,0,0,27,0,0,0,,,0,,,
935,940,1,0,0.51,0,0,28,0,0,0,0.1,175.99,5,11.18,175.63,0
935,940,1,1,65.2,0,4,3,1,1,1,8.67,36.27,215.17,18.31,36.06,0
935,940,1,0,38.91,1,1,4,3,3,3,5.17,63.77,236.02,19.09,63.51,0
935,940,1,0,76.42,0,3,5,0,0,0,6.07,55.48,59.51,2.88,54.09,27
935,940,1,0,,0,0,6,0,0,0,,,0,,,
935,940,1,2,17.53,0,0,7,0,0,0,2.33,35.3,60.44,19.65,35.11,0
935,940,1,0,20.01,2,0,8,1,1,4,2.65,31.92,63.65,20.05,31.73,0
935,940,1,0,74.22,0,3,9,3,3,0,7.39,23.05,63.69,7.62,22.52,26
940,945,1,0,27.43,4,0,1,3,3,2,3.65,66.71,176.26,19.33,66.48,0
940,945,1,0,28.02,1,1,10,2,2,3,3.73,95.96,262.98,19.6,95.7,0
940,945,1,0,62.23,0,3,11,1,1,3,4.07,13.43,47.24,11.6,13.12,6
940,945,1,0,32.47,0,1,12,0,0,7,4.26,20.69,60.72,18.27,20.47,0
940,945,1,2,21.55,0,7,13,1,1,0,2.85,65.7,131.53,18.64,65.48,0
940,945,1,0,15.23,3,0,14,0,0,0,3.04,97.28,141,19.08,97.07,0
940,945,1,0,89.88,0,1,15,1,1,0,7.18,120.06,129.96,2.44,118.42,99
940,945,1,5,18.57,0,0,16,0,0,0,3.7,83.23,147.65,19.16,83.03,0
940,945,1,0,12.67,2,0,17,2,2,1,1.68,44.77,53.7,19.02,44.57,0
940,945,1,0,74.72,0,1,18,0,0,0,5.97,198.5,106.04,1.45,195.75,91
940,945,1,0,3.54,0,0,19,0,0,0,0.71,16.03,5,17.88,15.8,0
940,945,1,0,24.55,0,2,2,1,1,2,1.62,17.29,34.88,16.67,17.07,5
940,945,1,0,11.77,0,0,20,2,2,0,2.35,98.04,110,19.11,97.83,0
940,945,1,0,2.88,0,0,21,0,0,1,0.57,167.2,28.31,11.77,166.85,0
940,945,1,0,4.43,0,1,22,0,0,1,0.76,48.53,4.61,4.37,43.9,1
940,945,1,0,5.68,0,0,23,0,0,0,2.27,15.37,5,11.7,15.03,0
