,interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
65,910.0,915.0,1.0,0.0,55.95,0.0,1.0,18.0,0.0,0.0,0.0,4.47,65.04,79.39,4.43,64.14,41.0
66,910.0,915.0,1.0,0.0,21.78,0.0,0.0,19.0,0.0,0.0,2.0,4.32,16.56,30.77,17.3,16.33,0.0
67,910.0,915.0,1.0,0.0,105.83,0.0,2.0,2.0,3.0,3.0,8.0,6.99,57.3,150.34,5.03,57.78,40.0
68,910.0,915.0,1.0,0.0,8.5,0.0,2.0,20.0,2.0,2.0,0.0,1.7,99.97,79.49,18.75,99.75,0.0
69,910.0,915.0,1.0,0.0,3.56,0.0,0.0,21.0,0.0,0.0,0.0,0.71,165.69,35.0,11.88,165.35,0.0
71,910.0,915.0,1.0,0.0,5.68,0.0,0.0,23.0,0.0,0.0,0.0,2.27,17.27,5.0,10.42,16.89,0.0
72,910.0,915.0,1.0,0.0,1.82,0.0,0.0,24.0,0.0,0.0,0.0,0.36,56.23,5.0,9.84,55.83,0.0
73,910.0,915.0,1.0,0.0,5.46,0.0,0.0,25.0,1.0,1.0,0.0,1.09,31.91,15.0,17.34,31.68,0.0
75,910.0,915.0,1.0,0.0,2.67,0.0,0.0,27.0,0.0,0.0,0.0,0.91,84.07333333333334,0.0,10.423333333333334,83.69333333333333,0.0
76,910.0,915.0,1.0,0.0,0.51,0.0,0.0,28.0,0.0,0.0,0.0,0.1,178.72,5.0,11.01,178.36,0.0
77,910.0,915.0,1.0,0.0,20.29,0.0,9.0,3.0,2.0,2.0,1.0,2.66,34.73,66.95,19.12,34.53,0.0
78,910.0,915.0,1.0,0.0,40.35,4.0,1.0,4.0,3.0,3.0,2.0,5.36,62.84,244.77,19.37,62.62,0.0
79,910.0,915.0,1.0,0.0,22.33,0.0,1.0,5.0,1.0,1.0,4.0,1.71,11.98,17.39,13.33,11.71,0.0
80,910.0,915.0,1.0,0.0,36.44,0.0,5.0,6.0,1.0,1.0,4.0,4.61,6.05,20.14,18.94,5.84,0.0
81,910.0,915.0,1.0,7.0,35.83,0.0,4.0,7.0,1.0,1.0,0.0,4.73,36.44,123.5,19.03,36.25,0.0
82,910.0,915.0,1.0,0.0,22.66,2.0,0.0,8.0,1.0,1.0,4.0,3.0,31.66,72.08,20.22,31.45,0.0
83,910.0,915.0,1.0,0.0,10.95,0.0,3.0,9.0,0.0,0.0,1.0,1.05,8.81,9.4,19.93,8.62,0.0
84,915.0,920.0,1.0,0.0,24.9,3.0,0.0,1.0,3.0,3.0,2.0,3.31,66.82,160.02,19.29,66.62,0.0
86,915.0,920.0,1.0,0.0,88.33,0.0,4.0,11.0,0.0,0.0,6.0,5.75,15.36,67.05,10.14,15.12,0.0
87,915.0,920.0,1.0,0.0,50.26,0.0,6.0,12.0,0.0,0.0,0.0,6.65,21.12,93.97,17.9,20.89,0.0
88,915.0,920.0,1.0,2.0,5.62,0.0,0.0,13.0,2.0,2.0,0.0,0.75,62.71,34.28,19.53,62.51,0.0
89,915.0,920.0,1.0,0.0,16.03,1.0,0.0,14.0,1.0,1.0,1.0,3.2,94.95,148.45,19.54,94.74,0.0
90,915.0,920.0,1.0,0.0,60.36,0.0,1.0,15.0,2.0,2.0,0.0,4.82,103.55,87.29,2.83,102.14,55.0
91,915.0,920.0,1.0,1.0,22.05,0.0,0.0,16.0,1.0,1.0,0.0,4.41,83.2,175.35,19.16,83.0,0.0
92,915.0,920.0,1.0,0.0,12.16,0.0,0.0,17.0,0.0,0.0,1.0,1.62,43.59,51.55,19.54,43.39,0.0
93,915.0,920.0,1.0,0.0,58.62,0.0,1.0,18.0,1.0,1.0,0.0,4.68,69.53,83.2,4.14,68.57,55.0
94,915.0,920.0,1.0,0.0,13.42,0.0,0.0,19.0,0.0,0.0,3.0,2.64,16.29,18.96,17.59,16.06,0.0
95,915.0,920.0,1.0,0.0,84.99,0.0,1.0,2.0,1.0,1.0,7.0,5.61,39.77,120.74,7.25,40.02,10.0
96,915.0,920.0,1.0,0.0,9.78,0.0,3.0,20.0,1.0,1.0,0.0,1.95,99.47,91.41,18.84,99.26,0.0
97,915.0,920.0,1.0,0.0,3.4,0.0,0.0,21.0,0.0,0.0,1.0,0.68,166.94,33.35,11.79,166.67,0.0
98,915.0,920.0,1.0,0.0,15.14,0.0,1.0,22.0,0.0,0.0,1.0,2.92,152.21,15.77,1.39,170.63,13.0
99,915.0,920.0,1.0,0.0,5.68,0.0,0.0,23.0,0.0,0.0,0.0,2.27,17.49,5.0,10.29,17.1,0.0
100,915.0,920.0,1.0,0.0,1.82,0.0,0.0,24.0,0.0,0.0,0.0,0.36,55.12,5.0,10.04,54.72,0.0
101,915.0,920.0,1.0,0.0,5.46,0.0,0.0,25.0,0.0,0.0,0.0,1.09,32.09,15.0,17.24,31.86,0.0
103,915.0,920.0,1.0,0.0,2.67,0.0,0.0,27.0,0.0,0.0,0.0,0.91,84.63000000000001,0.0,10.393333333333333,84.24333333333333,0.0
104,915.0,920.0,1.0,0.0,0.51,0.0,0.0,28.0,0.0,0.0,0.0,0.1,181.28,5.0,10.85,180.91,0.0
105,915.0,920.0,1.0,0.0,31.22,0.0,6.0,3.0,0.0,0.0,1.0,4.13,35.39,103.03,18.76,35.18,0.0
107,915.0,920.0,1.0,0.0,26.09,0.0,2.0,5.0,1.0,1.0,0.0,2.05,21.25,20.32,7.52,20.72,5.0
108,915.0,920.0,1.0,0.0,28.35,0.0,0.0,6.0,1.0,1.0,5.0,3.66,5.86,15.66,19.55,5.65,0.0
109,915.0,920.0,1.0,6.0,31.84,0.0,5.0,7.0,0.0,0.0,0.0,4.2,35.98,109.76,19.27,35.76,0.0
110,915.0,920.0,1.0,0.0,22.01,2.0,0.0,8.0,0.0,0.0,1.0,2.92,31.86,70.0,20.09,31.66,0.0
111,915.0,920.0,1.0,0.0,23.29,0.0,1.0,9.0,0.0,0.0,0.0,2.32,9.26,19.99,18.97,9.05,0.0
112,920.0,925.0,1.0,0.0,25.23,2.0,0.0,1.0,4.0,4.0,3.0,3.35,66.85,162.17,19.29,66.63,0.0
114,920.0,925.0,1.0,0.0,54.38,0.0,2.0,11.0,0.0,0.0,6.0,3.53,11.89,41.28,13.1,11.62,0.0
115,920.0,925.0,1.0,0.0,68.25,0.0,8.0,12.0,0.0,0.0,2.0,9.01,21.04,127.6,17.96,20.82,0.0
116,920.0,925.0,1.0,1.0,4.62,0.0,2.0,13.0,0.0,0.0,0.0,0.61,62.17,28.2,19.7,61.95,0.0
117,920.0,925.0,1.0,0.0,15.51,2.0,0.0,14.0,2.0,2.0,4.0,3.09,94.73,143.63,19.59,94.53,0.0
118,920.0,925.0,1.0,0.0,70.82,0.0,4.0,15.0,2.0,2.0,0.0,5.64,66.51,102.41,4.41,65.61,64.0
119,920.0,925.0,1.0,0.0,22.01,0.0,0.0,16.0,0.0,0.0,0.0,4.4,83.22,175.0,19.16,83.01,0.0
120,920.0,925.0,1.0,0.0,11.83,2.0,0.0,17.0,0.0,0.0,2.0,1.56,43.92,50.13,19.39,43.71,0.0
121,920.0,925.0,1.0,0.0,62.95,0.0,2.0,18.0,0.0,0.0,0.0,5.02,90.37,89.34,3.19,89.11,64.0
122,920.0,925.0,1.0,0.0,4.15,0.0,0.0,19.0,0.0,0.0,2.0,0.8,15.41,5.87,18.6,15.23,0.0
123,920.0,925.0,1.0,0.0,67.99,0.0,4.0,2.0,1.0,1.0,9.0,4.46,24.72,96.59,11.65,24.57,1.0
124,920.0,925.0,1.0,0.0,11.16,0.0,2.0,20.0,1.0,1.0,0.0,2.23,98.4,104.38,19.04,98.19,0.0
125,920.0,925.0,1.0,0.0,3.06,0.0,0.0,21.0,0.0,0.0,0.0,0.61,167.91,30.0,11.72,167.57,0.0
126,920.0,925.0,1.0,0.0,14.41,0.0,0.0,22.0,0.0,0.0,0.0,2.88,50.63,15.0,4.19,49.68,10.0
127,920.0,925.0,1.0,0.0,1.61,0.0,0.0,23.0,0.0,0.0,1.0,0.56,17.19,1.42,10.47,16.65,0.0
128,920.0,925.0,1.0,0.0,2.95,0.0,1.0,24.0,0.0,0.0,0.0,0.58,55.4,8.11,9.99,55.0,0.0
